code,area,year,number_of_jobs,job_density,gcode,lat,lon
E09000020,Kensington and Chelsea,2004,131000,1.09,E09000020,51.5013,-0.194346
E09000021,Kingston upon Thames,2004,84000,0.81,E09000021,51.4029,-0.256523
E09000022,Lambeth,2004,142000,0.72,E09000022,51.4603,-0.11663
E09000023,Lewisham,2004,79000,0.46,E09000023,51.447,-0.0187319
E09000024,Merton,2004,91000,0.7,E09000024,51.3985,-0.1986
E09000025,Newham,2004,81000,0.47,E09000025,51.533,0.0540634
E09000026,Redbridge,2004,85000,0.52,E09000026,51.592,0.0836183
E09000027,Richmond upon Thames,2004,82000,0.66,E09000027,51.4479,-0.326159
E09000028,Southwark,2004,195000,1.07,E09000028,51.4737,-0.0821115
E09000029,Sutton,2004,73000,0.62,E09000029,51.3652,-0.195167
E09000030,Tower Hamlets,2004,192000,1.3,E09000030,51.5104,-0.0054912
E09000031,Waltham Forest,2004,69000,0.46,E09000031,51.5916,-0.0053665
E09000032,Wandsworth,2004,127000,0.61,E09000032,51.4572,-0.194519
E09000033,Westminster,2004,597000,3.68,E09000033,51.4974,-0.136655
E09000001,City of London,2005,343000,61.26,E09000001,51.5161,-0.0919444
E09000002,Barking and Dagenham,2005,53000,0.51,E09000002,51.5636,0.152614
E09000003,Barnet,2005,136000,0.63,E09000003,51.5878,-0.229105
E09000004,Bexley,2005,80000,0.57,E09000004,51.5524,-0.30256
E09000005,Brent,2005,118000,0.64,E09000005,51.4042,0.01998
E09000006,Bromley,2005,125000,0.66,E09000006,51.4042,0.01998
E09000007,Camden,2005,292000,1.88,E09000007,51.5275,-0.124663
E09000008,Croydon,2005,150000,0.67,E09000008,51.3726,-0.096801
E09000009,Ealing,2005,138000,0.63,E09000009,51.6537,-0.080609
E09000010,Enfield,2005,116000,0.62,E09000010,51.6537,-0.080609
E09000011,Greenwich,2005,81000,0.52,E09000011,51.4893,0.0647926
E09000012,Hackney,2005,95000,0.63,E09000012,51.5419,-0.0552553
E09000013,Hammersmith and Fulham,2005,136000,1.05,E09000013,51.5064,-0.137447
E09000014,Haringey,2005,84000,0.52,E09000014,51.6002,-0.111927
E09000015,Harrow,2005,81000,0.56,E09000015,51.5846,-0.332159
E09000016,Havering,2005,89000,0.63,E09000016,51.5817,0.186821
E09000017,Hillingdon,2005,196000,1.18,E09000017,51.5289,-0.481374
